Dates;Products;Countries;Sales (kg)
01/01/2016;Eggplant;UK;195,5
01/01/2016;Patato;Germany;136,85
01/01/2016;Eggplant;Spain;197,8
01/01/2016;Eggplant;Germany;125,35
01/01/2016;Eggplant;Belgium;143,75
01/02/2016;Eggplant;Spain;178,25
01/02/2016;Tomato;Germany;198,95
01/02/2016;Patato;Italy;187,45
01/03/2016;Apple;Belgium;138
01/03/2016;Apple;Belgium;185,15
01/04/2016;Tomato;France;204,7
01/04/2016;Apricot;Belgium;207
01/04/2016;Carrot;France;193,2
01/04/2016;Apple;Spain;169,05
01/04/2016;Orange;UK;163,3
01/05/2016;Peach;Spain;201,25
01/05/2016;Patato;UK;118,45
01/05/2016;Apple;Belgium;177,1
01/05/2016;Apricot;Germany;207
01/05/2016;Tomato;Italy;140,3
01/05/2016;Apple;UK;215,05
01/05/2016;Tomato;Italy;133,4
01/06/2016;Patato;UK;225,4
01/06/2016;Pepper;Belgium;200,1
01/06/2016;Peach;Germany;136,85
01/06/2016;Apple;Spain;188,6
01/06/2016;Eggplant;France;154,1
01/06/2016;Tomato;UK;116,15
01/07/2016;Apricot;Italy;159,85
01/07/2016;Orange;Germany;163,3
01/07/2016;Peach;Italy;136,85
01/07/2016;Eggplant;Spain;221,95
01/07/2016;Pepper;France;175,95
01/07/2016;Tomato;Italy;169,05
01/07/2016;Banana;France;182,85
01/08/2016;Apricot;Belgium;204,7
01/08/2016;Tomato;Belgium;170,2
01/09/2016;Orange;Germany;180,55
01/09/2016;Orange;France;181,7
01/09/2016;Apple;Germany;228,85
01/09/2016;Pepper;France;140,3
01/09/2016;Banana;Italy;195,5
01/09/2016;Carrot;Belgium;219,65
01/09/2016;Banana;Spain;224,25
01/10/2016;Carrot;Belgium;115
01/10/2016;Patato;Belgium;181,7
01/10/2016;Eggplant;Italy;166,75
01/10/2016;Carrot;France;178,25
01/10/2016;Orange;France;152,95
01/10/2016;Carrot;Belgium;187,45
01/10/2016;Tomato;UK;132,25
01/11/2016;Apple;Germany;131,1
01/11/2016;Banana;UK;144,9
01/12/2016;Tomato;Belgium;158,7
01/12/2016;Apricot;Germany;207
01/12/2016;Peach;France;152,95
01/12/2016;Carrot;Spain;180,55
01/12/2016;Carrot;Spain;184
01/12/2016;Banana;Belgium;131,1
01/12/2016;Peach;France;141,45
01/12/2016;Banana;Germany;159,85
