customer_id;order_date;order_id;pages_visited;tshirt_category;tshirt_price;tshirt_quantity;user_agent
38040;04/09/2016;HTS-038040-0002;9;White T-Shirt M;20;1;Mozilla/5.0 (Windows NT 10.0| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
vft1eu;26/02/2017;HTS-vft1eu-0003;10;White T-Shirt F;18;3;Mozilla/5.0 (Macintosh| Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8
914324;01/12/2013;HTS-914324-0001;10;Wh Tshirt F;18;1;Mozilla/5.0 (Windows NT 10.0| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
61311;15/01/2016;HTS-061311-0003;9;Black T-Shirt F;17,5;4;Mozilla/5.0 (Macintosh| Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
494332;03/11/2013;HTS-494332-0001;10;Wh Tshirt F;18;2;Mozilla/5.0 (Macintosh| Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
463794;02/10/2013;HTS-463794-0001;14;Tennis Shirt;24;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
132885;23/07/2013;HTS-132885-0001;17;Wh Tshirt M;20;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
519113;24/11/2013;HTS-519113-0001;17;Bl Tshirt F;17,5;1;Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
je57lh;24/11/2015;HTS-je57lh-0001;15;Hoodie;23;3;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
49348;15/08/2016;HTS-049348-0004;6;Black T-Shirt F;17,5;1;Mozilla/5.0 (Macintosh| Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
heb26i;29/11/2015;HTS-heb26i-0001;15;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
989355;09/10/2015;HTS-989355-0003;10;Hoodie;23;2;Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
1b0lnt;16/01/2016;HTS-1b0lnt-0002;15;White T-Shirt M;20;1;Mozilla/5.0 (X11| Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
198773;17/01/2015;HTS-198773-0002;5;White T-Shirt M;20;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
476084;20/07/2014;HTS-476084-0001;11;White T-Shirt M;20;2;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
907041;20/05/2016;HTS-907041-0002;14;White T-Shirt F;18;3;Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
399607;09/03/2014;HTS-399607-0002;12;White T-Shirt M;20;5;Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
610587;08/01/2017;HTS-610587-0004;5;Hoodie;23;1;Mozilla/5.0 (X11| Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
707341;03/10/2014;HTS-707341-0003;8;Black T-Shirt M;19;3;Mozilla/5.0 (Macintosh| Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8
pq3m7c;08/09/2015;HTS-pq3m7c-0001;11;Hoodie;23;1;Mozilla/5.0 (Windows NT 6.1| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
0lkdil;19/12/2016;HTS-0lkdil-0002;8;Black T-Shirt F;17,5;1;Mozilla/5.0 (Macintosh| Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
318409;02/08/2015;HTS-318409-0001;19;Black T-Shirt M;19;1;Mozilla/5.0 (Macintosh| Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8
964210;15/09/2014;HTS-964210-0002;6;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
162811;23/06/2015;HTS-162811-0002;6;Black T-Shirt M;19;3;Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
760379;26/08/2013;HTS-760379-0001;14;Hoodie;23;1;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
710433;28/01/2015;HTS-710433-0001;11;White T-Shirt F;18;1;Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
kuqsq1;06/12/2016;HTS-kuqsq1-0002;16;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
bv8gw3;11/11/2016;HTS-bv8gw3-0001;13;Black T-Shirt M;19;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
