commentId;videoId;publishedAt;comment;likeCount;predictedSentiment;confidence;sentimentSource
"UgwQv3tZGpWrIghHiul4AaABAg";"kXgm7984oTs";"2021-04-02T04:13:55Z";"Thats awesome Parker ! Just got to know that Excel source has been removed from Power BI in the latest version  !LOL!";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgzlVpyv86FgGdlyAi94AaABAg";"PAX5GP9SkTA";"2021-03-06T03:49:31Z";"Awesome as usual Parker! Great complete run down of OLS";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgxzJw1P1Wwfr0rTRFV4AaABAg";"_GOIflxSlYI";"2021-04-01T08:47:15Z";"Thanks for an awesome video, Can you also do this with a scatter chart?";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"Ugx676doXOluQdvVSzp4AaABAg";"_GOIflxSlYI";"2021-03-03T09:10:42Z";"Truly awesome, such a brilliant concept";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgxlJrb0Nn6ULEp1Iv54AaABAg";"Wt7ee9-jJwk";"2021-03-19T21:14:53Z";"Simply wow! Great job!";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"Ugx6bd8FQsOBUCMniql4AaABAg";"nvv4tPOY8lo";"2021-03-21T12:12:12Z";"Excellent, as always. Thanks";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgwbeG_Ok_xLbU5f4CF4AaABAg";"nvv4tPOY8lo";"2021-02-08T01:58:59Z";"AMAZING!!";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgyyTiN-j4BQjtKUY554AaABAg";"hilfglpKNRQ";"2021-03-09T11:49:18Z";"This was exactly what I was looking for. Great, simple and elegant solution.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgxpDHWGYPhFgDRALPp4AaABAg";"PAX5GP9SkTA";"2021-03-04T19:25:03Z";"Very nice content! I was looking into this for a long time and couldn't find a solution. In the example, you used a RLS rule specific to hide the Unit Price for all users assigned to that. Do you tried combine the object level security with an expression level security?";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgxV3ebwrOQlNlQTztV4AaABAg";"PAX5GP9SkTA";"2021-03-02T15:10:37Z";"We have this feature in ssas as well";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgwO_gV6QbB7ODNYisN4AaABAg";"_GOIflxSlYI";"2021-03-23T13:38:04Z";"Amazing trick! {Heart} for content :heart:";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgyQmMtlpl_vRGHS5sl4AaABAg";"_GOIflxSlYI";"2021-02-27T14:22:03Z";"Awesome! Thanks for sharing. You'd think Microsoft would include conditional formatting as a native feature of standard visualizations.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgwjU96-ulEFqvzdfJd4AaABAg";"_GOIflxSlYI";"2021-02-25T04:18:45Z";"Awesome trick mate, can u make a video on how to custom that tooltip to show just the value of the line? It would be great, thanks in advance!";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgwJkFWYrn5APwyZDaN4AaABAg";"nvv4tPOY8lo";"2021-02-16T13:23:53Z";"Great video.  Does this calculation of the last 12 days include last 12 days the stock market was open (and in your table) or last 12 calendar days?  For example, if you have a 3-day weekend, the stock market is closed.  If that 3 day weekend was in the past 3 days, would it be excluded?  Thanks.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgxacoP3Gztj9b9uEgd4AaABAg";"nvv4tPOY8lo";"2021-02-05T21:17:57Z";"always so many ways to do things in PBI. I've always done these averages kind of like this: 
RVU ROLLING = 
    AVERAGEX(
        DATESINPERIOD('Calendar'[Date],LASTDATE('Calendar'[Date]),-90,DAY),
            [RVU])
Although DATESBETWEEN and DATESINPERIOD are a bit different so I suppose it depends on exactly what your after. Great tip as well with the What-if parameter. I need to keep remembering to use that more.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgyyR6zZypqulq_cqsx4AaABAg";"Wz0N0c3EzVg";"2020-12-21T17:10:29Z";"Absolutely loved working on this project. Thank you Parker for creating such awesome content.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgxReRkFfEMHRSOhugx4AaABAg";"IZJijGvbZks";"2021-01-22T18:57:16Z";"Amazing reports! 
I'm just starting out and this is very cool to see what is possible. Sadly, I have no prior programming knowledge, so DAX and Python scripts might take me a long time to learn, but still - hopefully it's worth it at the end.

Maybe one day I'll participate as well.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"Ugy_Y6u3a5wqqK7e6OZ4AaABAg";"fKygF7VEJnQ";"2021-01-26T09:17:47Z";"Hi Parker, thank you very much for this cool trick! Is there a way (an easy way I mean :)) to add the possibility to filter last 365 days? Thank you for all you share with us ;)";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"Ugzbj9hpAa7FhszRFeh4AaABAg";"fKygF7VEJnQ";"2021-01-13T14:11:58Z";"This is a great solution to many common problems. Is there a way to complete in Power Query? The reason I ask is that if I create reports I like to use the same date dimension and having to create this each time could be a bit time consuming. 

Even if there isn't this is a great solution! Thank you for posting all the great tips and tricks.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgyzTx-92i-97xBNUnt4AaABAg";"fktQmk0a9OI";"2021-03-04T21:30:43Z";"Fantastic,  thank you.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"Ugy3AYHNtpJsAbmzDaV4AaABAg";"fktQmk0a9OI";"2020-12-23T17:40:50Z";"great content! the image of your screen is a little grainy but still good.";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"Ugybj8lyIvaQz_rJU8N4AaABAg";"fktQmk0a9OI";"2020-12-18T06:23:43Z";"Thanks for the explanation Parker ! This is really great but it has one disadvantage that we cannot use Smart narratives based on the Smart multiple visuals !! Rest assured its really great to have this in Power BI which Microsoft power bi team has provided!!";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgwwZ_TmQz557r27p994AaABAg";"O0VsTLDTjss";"2020-12-07T09:17:27Z";"Just great !!. Thanks for sharing";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
"UgzrINJjEh5FlzG6vFV4AaABAg";"O0VsTLDTjss";"2020-12-03T11:15:02Z";"Thats really awesome Parker !! Thanks for sharing :)";0;"Positive";"99%";"Sentiment Analysis powered by https://www.impktful.com/"
