videoID;trafficSource;views
"Wt7ee9-jJwk";"YT_PLAYLIST_PAGE";20
"no0j59bcrW8";"YT_PLAYLIST_PAGE";6
"4xapOrfLvbg";"YT_PLAYLIST_PAGE";152
"XGbhdoiR-A8";"YT_PLAYLIST_PAGE";34
"_GOIflxSlYI";"YT_PLAYLIST_PAGE";33
"gNCTjoCu6k4";"YT_PLAYLIST_PAGE";23
"wG3J8lO9d5I";"YT_PLAYLIST_PAGE";96
"HJr4mLYsnB8";"YT_PLAYLIST_PAGE";87
"fLqvaWJtwhQ";"YT_PLAYLIST_PAGE";488
"ZilC968Fc9c";"YT_PLAYLIST_PAGE";323
"-tTYPCTciyU";"YT_PLAYLIST_PAGE";32
"hilfglpKNRQ";"YT_PLAYLIST_PAGE";30
"cTqFNg_y9lw";"YT_PLAYLIST_PAGE";111
"IURWlw2_6Ks";"YT_PLAYLIST_PAGE";127
"iyGBZsLxe54";"YT_PLAYLIST_PAGE";175
"bDPGm3rP8WU";"YT_PLAYLIST_PAGE";135
"AJxCCfFmLTQ";"YT_PLAYLIST_PAGE";103
"EJwbwMB-fDQ";"YT_PLAYLIST_PAGE";53
"ZlKMxbC4ehg";"YT_PLAYLIST_PAGE";59
"icf7Hfj22vg";"YT_PLAYLIST_PAGE";501
"8H9xM741hBQ";"YT_PLAYLIST_PAGE";287
"DtOfcsS_pQw";"YT_PLAYLIST_PAGE";65
"KJod3LG84bk";"YT_PLAYLIST_PAGE";46
"Ax-jgwnolNI";"YT_PLAYLIST_PAGE";163
"_8vw30ltFJ0";"YT_PLAYLIST_PAGE";322
"oLZ7jTKG1fw";"YT_PLAYLIST_PAGE";142
"7vCD8Zu686Q";"YT_PLAYLIST_PAGE";63
"vWnMk3E1lIc";"YT_PLAYLIST_PAGE";263
"XKmTknbusnY";"YT_PLAYLIST_PAGE";48
"KngjlmJCpUs";"YT_PLAYLIST_PAGE";5
"gkMjAYFeSiM";"YT_PLAYLIST_PAGE";25
"k_Z1Uu5y9l8";"YT_PLAYLIST_PAGE";162
"kJ37glO4wBY";"YT_PLAYLIST_PAGE";186
"RVcJ3O_O2Jg";"YT_PLAYLIST_PAGE";224
"eNP36ozsnss";"YT_PLAYLIST_PAGE";24
"SI0Oxt2Mu-Y";"YT_PLAYLIST_PAGE";24
"S1kTTQARvVs";"YT_PLAYLIST_PAGE";89
"dbZJLFI-t-Y";"YT_PLAYLIST_PAGE";166
"X47XlpkMfe8";"YT_PLAYLIST_PAGE";270
"bU35LnSfo70";"YT_PLAYLIST_PAGE";374
"MXKDEyc-vtU";"YT_PLAYLIST_PAGE";267
"O0VsTLDTjss";"YT_PLAYLIST_PAGE";34
"Pk3uKEuLrUY";"YT_PLAYLIST_PAGE";45
"A4iG8S4EpHs";"YT_PLAYLIST_PAGE";86
"QBD4na6Aeq0";"YT_PLAYLIST_PAGE";127
"iyc74jnjKV8";"YT_PLAYLIST_PAGE";9
"uq5PQg_hZro";"YT_PLAYLIST_PAGE";81
"ppQ0DdtBaCw";"YT_PLAYLIST_PAGE";42
"t4kd-QY6Rh0";"YT_PLAYLIST_PAGE";42
"fktQmk0a9OI";"YT_PLAYLIST_PAGE";25
"A9yVhbgxgl8";"YT_PLAYLIST_PAGE";380
"qZtfSNReft4";"YT_PLAYLIST_PAGE";4
"4pdzhKNwQlY";"YT_PLAYLIST_PAGE";369
"9XsMt1TxNeM";"YT_PLAYLIST_PAGE";785
"pEAwvMkpA8I";"YT_PLAYLIST_PAGE";164
"T1q3BF5_YJ8";"YT_PLAYLIST_PAGE";58
"VRQq7XVWdR8";"YT_PLAYLIST_PAGE";235
"0TAapq8TnFQ";"YT_PLAYLIST_PAGE";322
"KkUg3-R9kcA";"YT_PLAYLIST_PAGE";254
"Ka7Ds4EAjNQ";"YT_PLAYLIST_PAGE";146
"KjUAEci6G20";"YT_PLAYLIST_PAGE";294
"x-1NiopFC9g";"YT_PLAYLIST_PAGE";54
"6M7AhO8vbNw";"YT_PLAYLIST_PAGE";46
"syzA3PZx3qk";"YT_PLAYLIST_PAGE";946
"nePWIVgHobs";"YT_PLAYLIST_PAGE";131
"UqTAJxp--c4";"YT_PLAYLIST_PAGE";3
"RnMrGaiVWtQ";"YT_PLAYLIST_PAGE";530
"IZJijGvbZks";"YT_PLAYLIST_PAGE";10
"Ys11kq35rHU";"YT_PLAYLIST_PAGE";12
"PAX5GP9SkTA";"YT_PLAYLIST_PAGE";11
"HRJRJ3D9cq8";"YT_PLAYLIST_PAGE";97
"di_J3aFqY9E";"YT_PLAYLIST_PAGE";271
"1VNfhqILnh8";"YT_PLAYLIST_PAGE";12
"cS1omlvorrk";"YT_PLAYLIST_PAGE";367
"fTUw94veqfE";"YT_PLAYLIST_PAGE";58
"cr9UBeZ3AvQ";"YT_PLAYLIST_PAGE";58
"z7FBukPBKzg";"YT_PLAYLIST_PAGE";271
"uuwxWnAILr0";"YT_PLAYLIST_PAGE";13
"Z40Txux1Lxk";"YT_PLAYLIST_PAGE";938
"3QiTBXfxzHA";"YT_PLAYLIST_PAGE";241
"EmALxO7V7y0";"YT_PLAYLIST_PAGE";451
"TEmNcM6OnSc";"YT_PLAYLIST_PAGE";2
"YeI_n8myE68";"YT_PLAYLIST_PAGE";45
"Anv3X3EuHZ8";"YT_PLAYLIST_PAGE";170
"-kOvK7IV3sg";"YT_PLAYLIST_PAGE";162
"FO6e3rjSslQ";"YT_PLAYLIST_PAGE";70
"TRdVDwWqbfY";"YT_PLAYLIST_PAGE";236
"s9ck7xx85mA";"YT_PLAYLIST_PAGE";58
"DMtlv-BlKP4";"YT_PLAYLIST_PAGE";1101
"DRVDYOrVdlQ";"YT_PLAYLIST_PAGE";3
"duMSovyosXE";"YT_PLAYLIST_PAGE";269
"CoTLQiMZFbI";"YT_PLAYLIST_PAGE";319
"5XxUVbLVdQE";"YT_PLAYLIST_PAGE";74
"H3-evk6-qpQ";"YT_PLAYLIST_PAGE";18
"vbg4Je1tuis";"YT_PLAYLIST_PAGE";57
"8e8a3o1w51M";"YT_PLAYLIST_PAGE";66
"pCgK-Ze3nhA";"YT_PLAYLIST_PAGE";574
"dzJvTcCedm8";"YT_PLAYLIST_PAGE";268
"WSnB5y2JXv8";"YT_PLAYLIST_PAGE";177
"_bdHe3z_fVU";"YT_PLAYLIST_PAGE";278
"Y3ahe3J3Zuo";"YT_PLAYLIST_PAGE";26
"BxKIJL5baAU";"YT_PLAYLIST_PAGE";29
"WX0nH-lEpk4";"YT_PLAYLIST_PAGE";166
"DWjbd7NPUCM";"YT_PLAYLIST_PAGE";28
"651eVDaL34o";"YT_PLAYLIST_PAGE";52
"Z4E2jSZ4r6A";"YT_PLAYLIST_PAGE";28
"RcQ8gE-1hSU";"YT_PLAYLIST_PAGE";95
"oKi7rd16TjU";"YT_PLAYLIST_PAGE";119
"2RZkc_qrV1g";"YT_PLAYLIST_PAGE";41
"6jeSIRpjv0M";"YT_PLAYLIST_PAGE";435
"2SGXnYFdqu4";"YT_PLAYLIST_PAGE";112
"4NgQLqHI6hU";"YT_PLAYLIST_PAGE";215
"BY0WV05IeNk";"YT_PLAYLIST_PAGE";37
"8D6IbflW5OI";"YT_PLAYLIST_PAGE";6
"2kmFfbOeFJg";"YT_PLAYLIST_PAGE";61
"Ds8Twy4VvzU";"YT_PLAYLIST_PAGE";133
